run_name,feature_mode,model_name,test_loss,test_mutual_info_cipher_pred,test_infer_samples_per_sec,test_infer_benchmark_sec,test_eval_sec,elapsed_total_sec,accuracy,macro_f1,group,metric_type,precomputed_dir,elapsed_eval_sec,train_ciphers,test_ciphers,acc_drop_vs_in_cipher,display_name,source,phase
shortcut_compare_full_G1_baseline_etbert,baseline,etbert,0.124320798279608,0.0007926282731827309,11021.861433826043,1.6739459219998025,2.5129562310003166,3645.5769188550003,0.9559891598915989,0.9392754888986085,G1_baseline,in_cipher,,,,,,ET-BERT,reproduced,phase1_baseline
ubuntu_G1_baseline_mamba_lite,baseline,mamba_lite,0.0944079663676108,0.0039118617694125,146300.03987733097,0.1261106969996035,0.5275749230004294,362.96514146499976,0.9622764227642276,0.9563605346302996,G1_baseline,in_cipher,/home/moran/CipherSpectrum_TLS 1.3/outputs/precomputed_cache/6857a7b0b0234c35d9d90fac7db4a1ea4a3aabc8,,,,,NetMambaLite,existing,phase1_baseline
ubuntu_G1_baseline_transformer,baseline,transformer,0.4189501184854128,0.0033238096234527,192434.21670080893,0.0958769200005917,0.4731200990008801,341.3843740040011,0.8682384823848238,0.8629716360697293,G1_baseline,in_cipher,/home/moran/CipherSpectrum_TLS 1.3/outputs/precomputed_cache/6857a7b0b0234c35d9d90fac7db4a1ea4a3aabc8,,,,,Transformer,existing,phase1_baseline
shortcut_compare_full_G1_baseline_yatc,baseline,yatc,0.16861327774528653,0.0006521238655009011,168809.9120792965,0.10929452999971545,0.4356742789996133,161.0643650080001,0.9326829268292683,0.9162147582386995,G1_baseline,in_cipher,,,,,,YaTC,reproduced,phase1_baseline
shortcut_compare_full_G2_header_only_etbert,header_only,etbert,2.268483698161828,0.0095702964599428,11338.687110670011,1.6271725130009145,2.4210136689998762,3643.8730453000007,0.311869918699187,0.2510640934050329,G2_header_only,in_cipher,,,,,,ET-BERT,reproduced,phase2_occlusion
ubuntu_G2_header_only_mamba_lite,header_only,mamba_lite,1.6109800635608216,0.0117560708707074,148059.10522748873,0.1246123969995096,0.4892374450009811,351.71145098099987,0.4501897018970189,0.4293240660375781,G2_header_only,in_cipher,/home/moran/CipherSpectrum_TLS 1.3/outputs/precomputed_cache/14f2c827279498322cc0e12398195a51c5d1c0cb,,,,,NetMambaLite,existing,phase2_occlusion
ubuntu_G2_header_only_transformer,header_only,transformer,2.259101971339396,0.0084924922811762,195294.8009938215,0.0944725610006571,0.4260221670010651,343.7360053449993,0.2752845528455284,0.2092729549549742,G2_header_only,in_cipher,/home/moran/CipherSpectrum_TLS 1.3/outputs/precomputed_cache/14f2c827279498322cc0e12398195a51c5d1c0cb,,,,,Transformer,existing,phase2_occlusion
shortcut_compare_full_G2_header_only_yatc,header_only,yatc,1.7588929931236799,0.012606094548531916,170037.653160255,0.10850537899750634,0.4738162560024648,143.88858880499902,0.4175609756097561,0.38670570918389185,G2_header_only,in_cipher,,,,,,YaTC,reproduced,phase2_occlusion
shortcut_compare_full_G3_payload_only_etbert,payload_only,etbert,0.11816572781433077,0.0031213728980582357,10987.238496385158,1.6792208529986965,2.487659443000666,3676.068970532,0.9600542005420054,0.9513688339279915,G3_payload_only,in_cipher,,,,,,ET-BERT,reproduced,phase2_occlusion
ubuntu_G3_payload_only_mamba_lite,payload_only,mamba_lite,0.1116456881284382,0.0046998381311177,145222.97752328115,0.1270460110008571,0.4827867200001492,342.40918525599955,0.9569647696476964,0.9516487916652632,G3_payload_only,in_cipher,/home/moran/CipherSpectrum_TLS 1.3/outputs/precomputed_cache/d843a2169b93c2cbc9998176c4468a3299b4b969,,,,,NetMambaLite,existing,phase2_occlusion
ubuntu_G3_payload_only_transformer,payload_only,transformer,3.7510547745186567,0.0005953773020243,197835.25341667372,0.0932594149999204,0.4561683970023296,30.272091697999716,0.032520325203252,0.0031417155738781,G3_payload_only,in_cipher,/home/moran/CipherSpectrum_TLS 1.3/outputs/precomputed_cache/d843a2169b93c2cbc9998176c4468a3299b4b969,,,,,Transformer,existing,phase2_occlusion
shortcut_compare_full_G3_payload_only_yatc,payload_only,yatc,0.168979402307653,0.0005896836128664669,164172.81487027294,0.11238157800107729,0.4581269690024783,147.33727298300073,0.9356639566395664,0.919423802795424,G3_payload_only,in_cipher,,,,,,YaTC,reproduced,phase2_occlusion
shortcut_compare_full_G4_length_only_etbert,length_only,etbert,2.7603808645558603,0.002509123580678085,11556.652185998975,1.5964831080018484,2.3683901760014123,3667.5139726999987,0.2040108401084011,0.14941351806197495,G4_length_only,in_cipher,,,,,,ET-BERT,reproduced,phase2_occlusion
ubuntu_G4_length_only_mamba_lite,length_only,mamba_lite,0.2647729456025114,0.0007954035979274,149387.24025895592,0.123504524000964,0.4767109900003561,334.1674991559994,0.8914905149051491,0.8744830647506019,G4_length_only,in_cipher,/home/moran/CipherSpectrum_TLS 1.3/outputs/precomputed_cache/40a55d6515179fb0f9ad78cbdf36e85d427f6585,,,,,NetMambaLite,existing,phase2_occlusion
